price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,has_basement,view,yr_built,yr_renovated,lat,long
560000.0,5,1.0,1710.0,9100,1.5,0,0,1926,0,47.5379,-122.378
830000.0,3,2.5,2760.0,11287,2.0,0,3,1991,0,47.739,-122.264
276900.0,2,1.0,1350.0,10096,1.0,0,2,1952,0,47.4967,-121.778
625000.0,3,1.75,1660.0,4800,2.0,0,0,1906,2014,47.6296,-122.308
1015000.0,4,2.5,2960.0,4760,2.0,0,0,1900,0,47.6367,-122.318
463500.0,1,1.0,1090.0,8750,1.0,0,0,1924,0,47.54,-122.269
485000.0,3,2.5,3110.0,9015,2.0,0,0,1990,0,47.4369,-122.147
272000.0,3,2.0,1380.0,7476,1.0,0,0,1989,0,47.3336,-122.272
305000.0,2,1.0,1290.0,3140,2.0,0,0,2008,0,47.6971,-122.026
760000.0,3,2.5,1980.0,13964,1.0,0,0,1959,0,47.571,-122.227
387500.0,2,1.0,870.0,6126,1.0,0,0,1938,0,47.7024,-122.322
352000.0,4,2.5,2470.0,5015,2.0,0,0,2004,0,47.3457,-122.041
507000.0,3,1.75,2140.0,40098,1.0,0,0,1950,0,47.4296,-122.111
156000.0,3,1.0,770.0,9750,1.0,0,0,1941,0,47.4509,-122.275
580000.0,3,3.25,1490.0,857,3.0,0,0,2001,0,47.6357,-122.324
630000.0,4,2.5,2510.0,35020,1.0,0,0,1977,0,47.5834,-122.003
275000.0,5,1.5,1950.0,9000,1.0,0,0,1964,0,47.4882,-122.339
835000.0,5,4.0,3600.0,14720,1.0,0,2,1960,0,47.7022,-122.227
340000.0,4,2.5,2380.0,7850,2.0,0,0,1995,0,47.4356,-122.201
329350.0,2,1.0,720.0,6687,1.0,0,0,1942,0,47.7001,-122.362
1480000.0,3,3.5,4070.0,26000,2.0,0,0,1991,0,47.659,-122.174
475000.0,3,1.0,1250.0,150117,1.0,0,0,1975,0,47.5956,-122.009
719950.0,3,2.25,2190.0,2416,3.0,0,0,2014,0,47.6758,-122.38
235000.0,1,1.0,810.0,2451,1.0,0,0,1941,0,47.5188,-122.376
875000.0,3,1.5,2440.0,5750,1.0,0,0,1939,0,47.6991,-122.296
380000.0,4,1.75,1740.0,9150,1.0,0,0,1974,0,47.4498,-122.28
325000.0,3,2.25,1480.0,97138,1.5,0,0,1984,0,47.3317,-121.927
475000.0,4,2.5,2120.0,57050,2.0,0,0,1989,0,47.7611,-122.128
152900.0,1,1.0,900.0,4368,1.0,0,0,1915,1950,47.2107,-121.99
210000.0,2,2.0,1190.0,7570,1.0,0,0,1939,0,47.5113,-122.338
350000.0,4,1.0,1010.0,6000,1.0,0,0,1925,0,47.5518,-122.383
505000.0,3,2.5,2100.0,17882,2.0,0,0,1985,0,47.4754,-122.119
464900.0,4,2.25,2020.0,8424,1.0,0,0,1979,0,47.7262,-122.233
650000.0,3,2.0,2520.0,5980,1.0,0,0,1957,0,47.5767,-122.383
369950.0,2,2.75,1370.0,1140,2.0,0,0,2009,0,47.7053,-122.342
250000.0,3,2.5,1530.0,2890,2.0,0,0,2001,0,47.5434,-122.293
320000.0,3,2.5,1530.0,2890,2.0,0,0,2001,0,47.5434,-122.293
2532000.0,4,4.25,5040.0,16048,1.0,0,3,1950,0,47.6702,-122.26
340000.0,4,2.25,2530.0,24700,2.0,0,0,1974,0,47.3939,-122.177
440000.0,2,1.5,1010.0,1968,1.5,0,0,1906,0,47.6757,-122.385
219950.0,3,1.0,1200.0,7727,1.0,0,0,1959,0,47.2021,-121.999
940000.0,4,3.0,2720.0,11740,1.0,0,0,1957,0,47.5833,-122.242
399950.0,4,1.5,1850.0,6125,1.5,0,0,1945,0,47.5352,-122.37
1568000.0,3,2.75,2340.0,8828,1.0,0,0,1954,0,47.632,-122.289
528000.0,4,1.75,1860.0,9750,1.0,0,0,1969,0,47.7097,-122.202
545000.0,4,1.75,1940.0,8990,1.0,0,0,1956,0,47.7021,-122.241
575000.0,2,2.0,1680.0,6194,1.0,0,0,2004,0,47.7136,-122.03
235000.0,4,2.75,1770.0,10184,1.0,0,0,1979,0,47.3074,-122.385
272000.0,3,2.5,1790.0,6371,2.0,0,0,1998,0,47.3291,-122.168
380000.0,4,1.75,1720.0,9600,1.0,0,0,1969,0,47.4764,-122.155
195000.0,3,1.0,1280.0,6967,1.5,0,0,1949,0,47.7512,-122.329
297000.0,3,2.5,1690.0,4988,2.0,0,0,2002,0,47.3561,-122.015
349000.0,4,2.5,2190.0,7294,2.0,0,0,2003,0,47.2923,-122.357
320000.0,2,1.0,710.0,5200,1.0,0,2,1942,0,47.5376,-122.371
319990.0,4,1.5,1890.0,10707,1.0,0,0,1962,0,47.428,-122.326
439900.0,2,2.0,1410.0,12282,1.5,0,0,1909,1988,47.5242,-121.926
429000.0,3,3.25,2210.0,3600,2.0,0,0,1995,0,47.7031,-122.279
272500.0,3,2.0,1540.0,6250,1.0,0,0,1998,0,47.3539,-122.025
400000.0,4,2.0,1350.0,7255,1.0,0,0,1959,0,47.7287,-122.31
462000.0,5,2.0,1380.0,4300,1.5,0,0,1916,0,47.6647,-122.337
510000.0,2,1.0,890.0,6095,1.0,0,0,1947,0,47.6823,-122.298
550000.0,3,2.5,1900.0,3255,2.0,0,0,1988,2000,47.6075,-122.147
150000.0,3,1.0,1240.0,5200,1.0,0,0,1969,0,47.3701,-122.079
460000.0,3,2.5,1730.0,8490,1.0,0,0,1969,0,47.7187,-122.219
632500.0,4,2.5,2090.0,10306,2.0,0,0,1986,0,47.6304,-122.051
361000.0,3,1.75,1650.0,11220,1.0,0,0,1969,0,47.7567,-122.071
437000.0,3,2.25,1130.0,1221,2.0,0,0,2004,0,47.6799,-122.375
370000.0,6,2.75,3240.0,5750,1.0,0,0,1950,0,47.3054,-122.221
884250.0,4,2.5,3840.0,12151,2.0,0,0,1998,0,47.5953,-121.986
225000.0,3,1.0,1200.0,9936,1.0,0,0,1969,0,47.3609,-122.029
235000.0,2,1.0,870.0,5000,1.0,0,0,1949,0,47.5186,-122.375
767500.0,6,3.5,2410.0,6000,2.0,0,4,1916,1990,47.54,-122.382
1200000.0,3,1.75,1560.0,8078,1.5,1,4,1928,0,47.5779,-122.246
715000.0,3,2.5,2410.0,46609,2.0,0,0,1989,0,47.6789,-122.048
417000.0,4,2.25,2300.0,7700,1.0,0,0,1959,0,47.7137,-122.322
199000.0,3,1.0,1390.0,12145,1.0,0,0,1964,0,47.4225,-122.15
875000.0,5,2.5,2920.0,5568,2.0,0,0,1906,0,47.6265,-122.312
545000.0,4,1.5,1370.0,3708,1.5,0,0,1926,0,47.6849,-122.363
192500.0,2,1.0,950.0,7692,1.0,0,0,1926,0,47.4909,-122.298
822500.0,3,2.5,3090.0,7708,2.0,0,0,1999,0,47.6868,-122.108
800000.0,4,2.5,2390.0,10000,1.0,0,0,1975,0,47.5801,-122.229
1250000.0,3,2.5,2070.0,4944,2.0,0,0,1930,0,47.6256,-122.284
3850000.0,4,4.25,5770.0,21300,2.0,1,4,1980,0,47.585,-122.222
295000.0,3,2.5,1460.0,7936,2.0,0,0,1995,0,47.3673,-122.017
419000.0,2,1.75,1510.0,4980,1.0,0,0,2006,0,47.7191,-122.023
1195000.0,5,3.25,5180.0,19606,1.0,0,0,1993,0,47.555,-122.114
750000.0,4,2.75,3430.0,13907,2.0,0,0,1995,0,47.5879,-121.993
502000.0,4,1.5,1700.0,8400,1.0,0,0,1953,0,47.7677,-122.359
1025000.0,3,1.75,2640.0,8000,1.0,0,3,1960,0,47.5826,-122.246
398500.0,3,1.0,1200.0,15960,1.5,0,0,1945,0,47.7163,-122.299
700000.0,2,1.5,1850.0,4945,1.5,0,2,1907,1969,47.5742,-122.379
248000.0,5,1.5,1510.0,9078,1.0,0,0,1959,0,47.4852,-122.305
800000.0,4,2.0,2130.0,2800,1.0,0,0,1922,0,47.6545,-122.333
383000.0,4,2.5,2640.0,8055,2.0,0,0,2004,0,47.315,-122.193
688000.0,4,3.0,3000.0,4000,1.5,0,3,1913,2014,47.5744,-122.307
521000.0,3,2.0,1870.0,5455,1.0,0,0,1926,0,47.7029,-122.297
365000.0,2,1.0,990.0,9223,1.0,0,0,1949,0,47.72,-122.32
491000.0,3,2.0,2005.0,7000,1.0,0,0,1980,0,47.6039,-122.298
